train/learning_rate,_timestamp,train/num_tokens,train/global_step,_step,train/loss,train/grad_norm,train/mean_token_accuracy,_runtime,train/epoch,eval/accuracy
0.0001,1765917509.9084578,29313769.0,188.0,187,0.8219631910324097,0.013670336455106735,0.7898949235677719,1388.674936998,0.4030010718113612,
0.0001,1765917517.443316,29474111.0,189.0,188,0.8160750865936279,0.014632593840360641,0.7908262014389038,1396.209785031,0.40514469453376206,
0.0001,1765917524.643519,29641339.0,190.0,189,0.8697634935379028,0.014423937536776066,0.7812254726886749,1403.409995985,0.40728831725616294,
0.0001,1765917531.7717505,29795124.0,191.0,190,0.8035486340522766,0.01574748568236828,0.7963156402111053,1410.538209452,0.40943193997856375,
0.0001,1765917538.9188874,29956920.0,192.0,191,0.8459057807922363,0.010102116502821445,0.7860526144504547,1417.685389327,0.4115755627009646,
0.0001,1765917546.571271,30113790.0,193.0,192,0.8568905591964722,0.01741824857890606,0.7814164459705353,1425.337728685,0.4137191854233655,
0.0001,1765917554.486006,30267060.0,194.0,193,0.823101282119751,0.013309462927281857,0.789751261472702,1433.252491137,0.41586280814576637,
0.0001,1765917561.1638017,30420733.0,195.0,194,0.8388773798942566,0.012338344007730484,0.7862371653318405,1439.930284085,0.4180064308681672,
0.0001,1765917569.021066,30582338.0,196.0,195,0.8415905237197876,0.012442274950444698,0.7859726399183273,1447.787548008,0.42015005359056806,
0.0001,1765917574.9451156,30735043.0,197.0,196,0.8022266626358032,0.012061423622071743,0.7982969731092453,1453.711579337,0.42229367631296894,
0.0001,1765917581.3455677,30885025.0,198.0,197,0.8348526954650879,0.011466843076050282,0.7882582247257233,1460.112025244,0.42443729903536975,
0.0001,1765917587.9613032,31036663.0,199.0,198,0.8284624814987183,0.020047582685947418,0.7889956831932068,1466.727779592,0.4265809217577706,
0.0001,1765917594.3211563,31184340.0,200.0,199,0.7881116271018982,0.011544863693416119,0.7996789813041687,1473.087665937,0.4287245444801715,
0.0001,1765917612.8108435,31345142.0,201.0,200,0.8384591341018677,0.010334869846701622,0.7872642129659653,1491.577330456,0.43086816720257237,
0.0001,1765917619.6267204,31495847.0,202.0,201,0.8544936776161194,0.012382609769701958,0.7818574756383896,1498.393199281,0.4330117899249732,
0.0001,1765917627.3315527,31654749.0,203.0,202,0.8253101706504822,0.011140761896967888,0.7899960577487946,1506.098054247,0.43515541264737406,
0.0001,1765917633.1113317,31808152.0,204.0,203,0.8339831829071045,0.013857957907021046,0.7889764457941055,1511.877815652,0.43729903536977494,
0.0001,1765917640.9654784,31977458.0,205.0,204,0.8504489660263062,0.010723395273089409,0.7839266806840897,1519.731959509,0.43944265809217575,
0.0001,1765917647.611368,32129990.0,206.0,205,0.8219069242477417,0.01248373743146658,0.7904105633497238,1526.377850043,0.4415862808145766,
0.0001,1765917656.7033827,32295318.0,207.0,206,0.8714036345481873,0.011389528401196003,0.7800908982753754,1535.469883734,0.4437299035369775,
0.0001,1765917664.3838,32458576.0,208.0,207,0.8556380867958069,0.010853254236280918,0.7823728919029236,1543.150259717,0.44587352625937837,
0.0001,1765917671.9547477,32617496.0,209.0,208,0.8361436724662781,0.01215992122888565,0.7864205986261368,1550.72119269,0.4480171489817792,
0.0001,1765917680.687281,32779172.0,210.0,209,0.8239821195602417,0.012534651905298233,0.7913523465394974,1559.453779015,0.45016077170418006,
0.0001,1765917687.7111971,32931223.0,211.0,210,0.8134064674377441,0.011603755876421928,0.7917134016752243,1566.477672583,0.45230439442658094,
0.0001,1765917695.7637389,33081708.0,212.0,211,0.8275746703147888,0.01589219458401203,0.7884844094514847,1574.530225822,0.45444801714898175,
0.0001,1765917702.5609818,33234519.0,213.0,212,0.8292855620384216,0.014879231341183186,0.7904141545295715,1581.327474979,0.4565916398713826,
0.0001,1765917708.853368,33380554.0,214.0,213,0.8181524276733398,0.01411370001733303,0.7921080589294434,1587.619848064,0.4587352625937835,
0.0001,1765917717.4516482,33541078.0,215.0,214,0.8567266464233398,0.016091950237751007,0.7833519279956818,1596.218140054,0.4608788853161844,
0.0001,1765917725.2948737,33702070.0,216.0,215,0.8287140130996704,0.017782798036932945,0.7891824394464493,1604.061350806,0.4630225080385852,
0.0001,1765917731.8212776,33851344.0,217.0,216,0.7837494611740112,0.023339927196502686,0.8009689152240753,1610.587718153,0.46516613076098606,
0.0001,1765917739.4714005,34005428.0,218.0,217,0.8251459002494812,0.016155550256371498,0.7910206764936447,1618.237874528,0.46730975348338694,
0.0001,1765917745.1071248,34142448.0,219.0,218,0.8344523310661316,0.02814672514796257,0.7891580313444138,1623.873604335,0.4694533762057878,
0.0001,1765917751.703508,34293582.0,220.0,219,0.7862191200256348,0.01100310031324625,0.7995382696390152,1630.46997568,0.4715969989281886,
0.0001,1765917758.981376,34448802.0,221.0,220,0.8639515042304993,0.019579844549298286,0.7839313298463821,1637.747851935,0.4737406216505895,
0.0001,1765917766.6456635,34608650.0,222.0,221,0.813754677772522,0.01628538779914379,0.7916165739297867,1645.41212087,0.4758842443729904,
0.0001,1765917773.7793353,34765848.0,223.0,222,0.806039035320282,0.014658772386610508,0.7945783287286758,1652.545799194,0.4780278670953912,
0.0001,1765917780.5545661,34923587.0,224.0,223,0.8005529046058655,0.02019965648651123,0.7991303652524948,1659.321045926,0.48017148981779206,
0.0001,1765917786.0208151,35061736.0,225.0,224,0.7795756459236145,0.01583622768521309,0.8018144369125366,1664.78726933,0.48231511254019294,
0.0001,1765917793.077798,35224947.0,226.0,225,0.8383455276489258,0.022099019959568977,0.7840783447027206,1671.84428807,0.4844587352625938,
0.0001,1765917800.9532032,35383552.0,227.0,226,0.8847415447235107,0.020667359232902527,0.7759496867656708,1679.719689391,0.4866023579849946,
0.0001,1765917808.8047574,35537848.0,228.0,227,0.8279131650924683,0.012268969789147377,0.7907986491918564,1687.571202855,0.4887459807073955,
0.0001,1765917814.9816296,35694801.0,229.0,228,0.8199180960655212,0.017679158598184586,0.7906719595193863,1693.748106149,0.4908896034297964,
0.0001,1765917822.374282,35847389.0,230.0,229,0.8195617198944092,0.01452963799238205,0.7912784963846207,1701.140744564,0.4930332261521972,
0.0001,1765917829.0520566,36001061.0,231.0,230,0.8313535451889038,0.017898906022310257,0.7889774292707443,1707.818550623,0.49517684887459806,
0.0001,1765917836.5765364,36153435.0,232.0,231,0.8311434984207153,0.014557554386556149,0.7909872829914093,1715.343011961,0.49732047159699894,
0.0001,1765917843.2647467,36308551.0,233.0,232,0.8176118731498718,0.012162893079221249,0.7932129353284836,1722.031196466,0.4994640943193998,
0.0001,1765917849.6893876,36451452.0,234.0,233,0.8184743523597717,0.014637903310358524,0.7924427837133408,1728.455890561,0.5016077170418006,
0.0001,1765917855.3576262,36596648.0,235.0,234,0.7880667448043823,0.011413202621042728,0.7993950545787811,1734.124087627,0.5037513397642015,
0.0001,1765917863.2671106,36751665.0,236.0,235,0.8238694667816162,0.014692451804876328,0.7872052490711212,1742.033590787,0.5058949624866024,
