_timestamp,train/loss,train/epoch,train/grad_norm,train/global_step,_step,train/num_tokens,train/learning_rate,train/mean_token_accuracy,_runtime,eval/accuracy
1765917497.076285,0.8185303807258606,0.3965702036441586,0.007032675202935934,185.0,184,28847748.0,0.001,0.792197197675705,1361.227337994,
1765917503.5567842,0.8001798391342163,0.3987138263665595,0.010087906382977962,186.0,185,29003477.0,0.001,0.7960259914398193,1367.707830837,
1765917511.7985976,0.7962074279785156,0.4008574490889603,0.007238634862005711,187.0,186,29163981.0,0.001,0.7959842532873154,1375.94965621,
1765917519.7307255,0.7816944122314453,0.4030010718113612,0.010420694947242737,188.0,187,29313769.0,0.001,0.7980610877275467,1383.881779154,
1765917527.2253857,0.7784872055053711,0.40514469453376206,0.009597348049283028,189.0,188,29474111.0,0.001,0.7984163910150528,1391.376437752,
1765917534.4400115,0.8346652984619141,0.40728831725616294,0.007876874879002571,190.0,189,29641339.0,0.001,0.7879143357276917,1398.591061255,
1765917541.5457947,0.7695637345314026,0.40943193997856375,0.00943811610341072,191.0,190,29795124.0,0.001,0.8029109686613083,1405.696841624,
1765917548.6646056,0.8081034421920776,0.4115755627009646,0.007445216178894043,192.0,191,29956920.0,0.001,0.7930064350366592,1412.81564557,
1765917556.3022585,0.8130080103874207,0.4137191854233655,0.009037282317876816,193.0,192,30113790.0,0.001,0.7890075445175171,1420.453302875,
1765917564.1545475,0.7870131731033325,0.41586280814576637,0.007378817070275545,194.0,193,30267060.0,0.001,0.7966202199459076,1428.305611454,
1765917570.767157,0.7995715141296387,0.4180064308681672,0.008462677709758282,195.0,194,30420733.0,0.001,0.7937485724687576,1434.918229723,
1765917578.5861251,0.8016510009765625,0.42015005359056806,0.008421240374445915,196.0,195,30582338.0,0.001,0.7934969216585159,1442.737201256,
1765917584.5392523,0.7644430994987488,0.42229367631296894,0.007719720248132944,197.0,196,30735043.0,0.001,0.8056484460830688,1448.69030665,
1765917590.960031,0.7989790439605713,0.42443729903536975,0.008648508228361607,198.0,197,30885025.0,0.001,0.7955066859722137,1455.111065792,
