_timestamp,_runtime,train/loss,train/num_tokens,train/global_step,train/grad_norm,train/learning_rate,train/mean_token_accuracy,_step,train/epoch,eval/accuracy
1765917870.8589077,1757.990449748,0.8394463062286377,41882397.0,269.0,0.04254326596856117,1e-05,0.7907684594392776,268,0.5766345123258306,
1765917877.204969,1764.336502775,0.8922315835952759,42044695.0,270.0,0.04465021193027496,1e-05,0.7729914039373398,269,0.5787781350482315,
1765917884.1330438,1771.264567776,0.9119303822517395,42195750.0,271.0,0.04683768004179001,1e-05,0.7720454633235931,270,0.5809217577706324,
1765917890.6469808,1777.778535279,0.8983711004257202,42347658.0,272.0,0.0457877479493618,1e-05,0.7776478230953217,271,0.5830653804930332,
1765917897.5234141,1784.654990032,0.9065336585044861,42499617.0,273.0,0.045175645500421524,1e-05,0.770961344242096,272,0.5852090032154341,
1765917903.9887726,1791.12031603,0.8454189300537109,42648060.0,274.0,0.04840920865535736,1e-05,0.7886543273925781,273,0.587352625937835,
1765917910.1373494,1797.26891253,0.8740843534469604,42799438.0,275.0,0.04457985609769821,1e-05,0.7797440737485886,274,0.5894962486602358,
1765917916.384299,1803.515859429,0.8651576042175293,42945465.0,276.0,0.04548708349466324,1e-05,0.7843642383813858,275,0.5916398713826366,
1765917922.3659604,1809.497488378,0.8553284406661987,43089377.0,277.0,0.047163981944322586,1e-05,0.7868942469358444,276,0.5937834941050375,
1765917930.7665834,1817.898142179,0.911659836769104,43253006.0,278.0,0.042450420558452606,1e-05,0.7726006209850311,277,0.5959271168274384,
1765917937.544489,1824.676011825,0.8683586120605469,43420433.0,279.0,0.04305686801671982,1e-05,0.7808803170919418,278,0.5980707395498392,
1765917944.072831,1831.204366626,0.8710074424743652,43577695.0,280.0,0.041989706456661224,1e-05,0.7813395410776138,279,0.6002143622722401,
1765917951.8435247,1838.975074885,0.8611639738082886,43738482.0,281.0,0.042275428771972656,1e-05,0.7821914106607437,280,0.602357984994641,
1765917959.3011427,1846.432687412,0.8733409643173218,43895774.0,282.0,0.04196075350046158,1e-05,0.7792992144823074,281,0.6045016077170418,
1765917965.1376972,1852.269220679,0.8689690828323364,44045728.0,283.0,0.042981162667274475,1e-05,0.783155083656311,282,0.6066452304394426,
1765917972.5819633,1859.713473263,0.8779852986335754,44207082.0,284.0,0.04564088210463524,1e-05,0.7757385522127151,283,0.6087888531618435,
1765917979.3264754,1866.458021541,0.8940297365188599,44360492.0,285.0,0.052056919783353806,1e-05,0.776204451918602,284,0.6109324758842444,
1765917985.8324275,1872.963952933,0.8364641666412354,44507249.0,286.0,0.051175374537706375,1e-05,0.7907781451940536,285,0.6130760986066452,
1765917992.0612152,1879.192760975,0.8672891855239868,44657380.0,287.0,0.04389461874961853,1e-05,0.7863728851079941,286,0.6152197213290461,
1765917998.4388025,1885.570345781,0.8620721101760864,44809690.0,288.0,0.0434209443628788,1e-05,0.7823358923196793,287,0.617363344051447,
1765918003.8581793,1890.989715319,0.8404968976974487,44958006.0,289.0,0.044386882334947586,1e-05,0.7887940555810928,288,0.6195069667738478,
1765918010.2679267,1897.399463913,0.8897724151611328,45127484.0,290.0,0.043397460132837296,1e-05,0.7769787013530731,289,0.6216505894962486,
1765918017.193336,1904.324885606,0.914816677570343,45288670.0,291.0,0.045645635575056076,1e-05,0.7720167189836502,290,0.6237942122186495,
1765918022.095873,1909.227411772,0.8519964814186096,45435435.0,292.0,0.04682585597038269,1e-05,0.7853747755289078,291,0.6259378349410504,
1765918028.3827538,1915.514308164,0.8664764165878296,45582758.0,293.0,0.04481897130608559,1e-05,0.7818682491779327,292,0.6280814576634512,
1765918033.9338295,1921.065366598,0.8557009100914001,45724786.0,294.0,0.04905479773879051,1e-05,0.786574512720108,293,0.6302250803858521,
