train/learning_rate,train/mean_token_accuracy,_runtime,_timestamp,train/loss,train/grad_norm,train/num_tokens,train/global_step,train/epoch,_step,eval/accuracy
1e-05,0.8025104701519012,11080.533593096,1765927635.6648839,0.7401344776153564,0.015405692160129547,50723566.0,326.0,0.6988210075026795,325,
1e-05,0.819946676492691,11112.537373347,1765927667.6687014,0.6678287386894226,0.047874391078948975,50868735.0,327.0,0.7009646302250804,326,
1e-05,0.8015296757221222,11144.981886835,1765927700.1131072,0.7431172132492065,0.019716063514351845,51027679.0,328.0,0.7031082529474812,327,
1e-05,0.7960570156574249,11185.661987318,1765927740.7931595,0.7665207386016846,0.02095378004014492,51188474.0,329.0,0.7052518756698821,328,
1e-05,0.811533123254776,11217.813307463,1765927772.944525,0.701047420501709,0.02767527662217617,51334182.0,330.0,0.707395498392283,329,
1e-05,0.8031701445579529,11253.899968691,1765927809.0311575,0.7380847930908203,0.01850598305463791,51499899.0,331.0,0.7095391211146839,330,
1e-05,0.8094720840454102,11285.559947707,1765927840.691204,0.713330864906311,0.03972361981868744,51645111.0,332.0,0.7116827438370846,331,
1e-05,0.8120971620082855,11316.224139105,1765927871.355484,0.7000246047973633,0.029033368453383446,51795720.0,333.0,0.7138263665594855,332,
1e-05,0.8178911209106445,11347.132495307,1765927902.2637553,0.6705520153045654,0.015316775999963284,51934189.0,334.0,0.7159699892818864,333,
1e-05,0.7973389625549316,11386.173335965,1765927941.3045318,0.7566043734550476,0.046105846762657166,52086111.0,335.0,0.7181136120042872,334,
1e-05,0.8044322431087494,11413.713473151,1765927968.8446188,0.7312078475952148,0.04037420079112053,52241632.0,336.0,0.7202572347266881,335,
1e-05,0.8021371066570282,11453.112766567,1765928008.244045,0.7357193231582642,0.013627531938254833,52403245.0,337.0,0.722400857449089,336,
1e-05,0.8007512390613556,11486.384776191,1765928041.5160005,0.7489430904388428,0.03500758111476898,52567275.0,338.0,0.7245444801714899,337,
1e-05,0.8012155890464783,11521.534697742,1765928076.6660397,0.742779016494751,0.03927263990044594,52733506.0,339.0,0.7266881028938906,338,
1e-05,0.8045850098133087,11557.064311848,1765928112.195542,0.7357561588287354,0.01489417813718319,52884795.0,340.0,0.7288317256162915,339,
1e-05,0.8031621873378754,11589.653892517,1765928144.7852497,0.7321058511734009,0.014577280730009079,53039775.0,341.0,0.7309753483386924,340,
1e-05,0.7974919676780701,11627.529419295,1765928182.6606,0.7555404901504517,0.037095725536346436,53204226.0,342.0,0.7331189710610932,341,
1e-05,0.8078377842903137,11656.852382039,1765928211.9836626,0.717024028301239,0.03475606068968773,53357002.0,343.0,0.7352625937834941,342,
