train/learning_rate,_timestamp,train/grad_norm,train/num_tokens,train/global_step,train/loss,train/mean_token_accuracy,_step,_runtime,train/epoch,eval/accuracy
1e-05,1765926220.7429554,0.15925046801567078,48979750.0,315.0,0.7504235506057739,0.8015962541103363,314,9686.263212301,0.6752411575562701,
1e-05,1765926256.8858213,0.14402858912944794,49140486.0,316.0,0.7240191698074341,0.8086535930633545,315,9722.406145319,0.677384780278671,
1e-05,1765926294.056892,0.04886465147137642,49297672.0,317.0,0.7231173515319824,0.8069921433925629,316,9759.577234004,0.6795284030010718,
1e-05,1765926321.2637699,0.09890168160200119,49448662.0,318.0,0.724281907081604,0.8074520826339722,317,9786.784042283,0.6816720257234726,
1e-05,1765926352.228562,0.12812456488609314,49615721.0,319.0,0.7228657007217407,0.8075066804885864,318,9817.748809203,0.6838156484458735,
1e-05,1765926381.1259673,0.1236906573176384,49770136.0,320.0,0.7039886713027954,0.8110153377056122,319,9846.64624316,0.6859592711682744,
1e-05,1765926412.220557,0.05479001998901367,49932945.0,321.0,0.7411953210830688,0.8031501770019531,320,9877.740814135,0.6881028938906752,
1e-05,1765926442.9803245,0.0816652923822403,50079045.0,322.0,0.7014197111129761,0.8112256526947021,321,9908.500593541,0.6902465166130761,
1e-05,1765926476.442484,0.1066548302769661,50243726.0,323.0,0.7451306581497192,0.800061970949173,322,9941.962714726,0.692390139335477,
1e-05,1765926513.2364964,0.096380814909935,50404071.0,324.0,0.7294774651527405,0.8067671656608582,323,9978.756896783,0.6945337620578779,
1e-05,1765926545.9084833,0.05203719064593315,50557944.0,325.0,0.750159740447998,0.7992329895496368,324,10011.428808523,0.6966773847802786,
1e-05,1765926578.0133724,0.05828576534986496,50723566.0,326.0,0.7393753528594971,0.8027763962745667,325,10043.533709869,0.6988210075026795,
1e-05,1765926606.9891279,0.1021498441696167,50868735.0,327.0,0.6669159531593323,0.8198210299015045,326,10072.509382198,0.7009646302250804,
1e-05,1765926636.223705,0.0873287245631218,51027679.0,328.0,0.7422071099281311,0.8018863201141357,327,10101.743944728,0.7031082529474812,
1e-05,1765926673.3277152,0.04183393716812134,51188474.0,329.0,0.7656503915786743,0.7961236238479614,328,10138.847972262,0.7052518756698821,
1e-05,1765926701.9471908,0.06423041969537735,51334182.0,330.0,0.7003249526023865,0.8111327588558197,329,10167.467452452,0.707395498392283,
1e-05,1765926734.9617748,0.07549245655536652,51499899.0,331.0,0.73728346824646,0.8033212721347809,330,10200.482010991,0.7095391211146839,
1e-05,1765926763.586211,0.07230237126350403,51645111.0,332.0,0.7121574878692627,0.8095102906227112,331,10229.106653358,0.7116827438370846,
1e-05,1765926791.1460834,0.03756619244813919,51795720.0,333.0,0.6989126205444336,0.8122473061084747,332,10256.666438568,0.7138263665594855,
1e-05,1765926819.0126379,0.0659453347325325,51934189.0,334.0,0.6696303486824036,0.8179619610309601,333,10284.533006032,0.7159699892818864,
1e-05,1765926854.2531462,0.07308583706617355,52086111.0,335.0,0.7555904388427734,0.7974769473075867,334,10319.773369498,0.7181136120042872,
1e-05,1765926879.1008236,0.05094152316451073,52241632.0,336.0,0.7297286987304688,0.8047186434268951,335,10344.621061452,0.7202572347266881,
1e-05,1765926914.5729914,0.03956183046102524,52403245.0,337.0,0.7350906729698181,0.8023490309715271,336,10380.093233826,0.722400857449089,
1e-05,1765926944.761998,0.061931852251291275,52567275.0,338.0,0.747923731803894,0.8010535538196564,337,10410.282207134,0.7245444801714899,
1e-05,1765926976.4676442,0.05954859033226967,52733506.0,339.0,0.7415319085121155,0.801446944475174,338,10441.988066252,0.7266881028938906,
1e-05,1765927007.9169855,0.04141528159379959,52884795.0,340.0,0.7347795963287354,0.8047631084918976,339,10473.437305677,0.7288317256162915,
1e-05,1765927036.9311059,0.04288121685385704,53039775.0,341.0,0.7312103509902954,0.803390383720398,340,10502.45137759,0.7309753483386924,
1e-05,1765927070.935552,0.05753842368721962,53204226.0,342.0,0.7546268701553345,0.7978218495845795,341,10536.455798817,0.7331189710610932,
1e-05,1765927097.4696486,0.04991522058844566,53357002.0,343.0,0.7158483266830444,0.8080592751502991,342,10562.989900237,0.7352625937834941,
1e-05,1765927124.4324877,0.03673916682600975,53512592.0,344.0,0.7322240471839905,0.8037218749523163,343,10589.952923239,0.737406216505895,
1e-05,1765927158.3817933,0.054399728775024414,53675222.0,345.0,0.7738087177276611,0.7948373556137085,344,10623.902066294,0.7395498392282959,
1e-05,1765927195.1851528,0.0527910478413105,53837794.0,346.0,0.7864968180656433,0.7885061204433441,345,10660.705390247,0.7416934619506966,
1e-05,1765927228.8000991,0.0408792681992054,53990810.0,347.0,0.7363836169242859,0.8043818771839142,346,10694.32042142,0.7438370846730975,
1e-05,1765927263.2822416,0.050515346229076385,54142452.0,348.0,0.7112588882446289,0.8096296787261963,347,10728.802505441,0.7459807073954984,
1e-05,1765927298.0140553,0.057526491582393646,54294279.0,349.0,0.7089569568634033,0.8100155293941498,348,10763.534294664,0.7481243301178992,
1e-05,1765927323.6252158,0.045289747416973114,54445597.0,350.0,0.7038275003433228,0.8136374950408936,349,10789.145632497,0.7502679528403001,
1e-05,1765927357.6909733,0.037377722561359406,54603343.0,351.0,0.7362833619117737,0.8046976029872894,350,10823.211182194,0.752411575562701,
1e-05,1765927388.5564232,0.06351900845766068,54759468.0,352.0,0.6916134357452393,0.8146770298480988,351,10854.076696811,0.7545551982851019,
1e-05,1765927419.7248833,0.04097376763820648,54913059.0,353.0,0.7131921052932739,0.8069881200790405,352,10885.245121625,0.7566988210075026,
1e-05,1765927454.0870001,0.12750180065631866,55070490.0,354.0,0.7261660695075989,0.8059014081954956,353,10919.607243582,0.7588424437299035,
1e-05,1765927486.802713,0.10758025199174881,55234816.0,355.0,0.747054398059845,0.8006744980812073,354,10952.322962738,0.7609860664523044,
